,Date,Address
,2015-09-03,4800 US-295
,2015-09-03,114 RIVERBANK
,2015-09-04,3 TERRI Lane SUITE 1
,2015-09-05,2000 BURLINGTON Bypass APT 257
,2015-09-06,350 HIGH Street APT 2
,2015-09-06,2305 RANCOCAS Road UNKN
,2015-09-06,2000 BURLINGTON Bypass APT 229
,2015-09-06,4850 US-295
,2015-09-08,255 E PEARL Street APT 124
,2015-09-08,62 RIVERBANK
,2015-09-09,350 RIVERBANK
,2015-09-09,320 CONROW Street APT 149
,2015-09-12,2305 RANCOCAS Road UNKN
,2015-09-14,1900 MT HOLLY Road SUITE C
,2015-09-14,2305 RANCOCAS Road UNKN
,2015-09-15,1900 MT HOLLY Road SUITE B
,2015-09-16,120 ELM Street APT SH8
,2015-09-16,62 RIVERBANK
,2015-09-18,1020 WOODLANE Road APT 59
,2015-09-20,304 BENNETT Street
,2015-09-21,306 WARREN Street APT A
,2015-09-26,1701 SALEM Road APT O5
,2015-09-28,902 JACKSONVILLE Road APT C119A
,2015-09-30,23 STEEPLE CHASE Boulevard
,2015-10-05,32 BISBEE Drive
,2015-10-05,6 TERRI Lane SUITE 900
,2015-10-07,1714 HANCOCK Lane APT 220
,2015-10-07,902 JACKSONVILLE Road RM WEST 236
,2015-10-09,907 WOODLANE Road APT 116A
,2015-10-10,55 SUNSET Road APT 415
,2015-10-10,350 RIVERBANK
,2015-10-11,240 VANSCIVER Parkway
,2015-10-15,320 CONROW Street APT 236
,2015-10-16,2501 MT HOLLY Road STORE 147
,2015-10-16,811 SUNSET Road SUITE 201
,2015-10-19,45 FAWNHOLLOW Road
,2015-10-20,120 ELM Street APT U4
,2015-10-20,2501 MT HOLLY Road STORE 283
,2015-10-27,811 SUNSET Road SUITE 201
,2015-10-28,4364 N US-130 SUITE J
,2015-10-29,114 RIVERBANK
,2015-10-31,4940 US-295 NB
,2015-11-02,1701 SALEM Road APT A11
,2015-11-03,23 STONE VILLA
,2015-11-03,2000 BURLINGTON Bypass APT 53
,2015-11-05,120 ELM Street AC1
,2015-11-11,100 RIVERBANK
,2015-11-13,2305 RANCOCAS Road UNKN
,2015-11-13,231 VANKIRK Street
,2015-11-14,VANSCIVER Parkway
,2015-11-17,811 SUNSET Road SUITE 201
,2015-11-17,902 JACKSONVILLE Road WEST 2 RM 38
,2015-11-17,120 ELM Street APT E1
,2015-11-18,240 N US-130 UNIT 5
,2015-11-21,111 SUNSET Road RM 101
,2015-11-21,907 WOODLANE Road APT 126B
,2015-11-25,120 ELM Street APT TH9
,2015-11-26,104 POWDERMILL Lane
,2015-11-26,902 JACKSONVILLE Road WEST 113
,2015-11-26,120 ELM Street APT S4
,2015-11-28,255 E PEARL Street APT 102
,2015-11-29,4660 US-295
,2015-11-29,300 CAMPBELL Drive SUITE E&F
,2015-11-30,1701 SALEM Road APT O-14
,2015-12-02,651 HIGH Street FLOOR 1
,2015-12-02,230 VANSCIVER Parkway
,2015-12-04,320 CONROW Street APT 149
,2015-12-09,255 E PEARL Street APT 102
,2015-12-10,1020 WOODLANE Road APT 59
,2015-12-10,4750 US-295
,2015-12-11,1701 SALEM Road APT Q1
,2015-12-12,1701 SALEM Road D8
,2015-12-14,45 FAWNHOLLOW Road
,2015-12-17,350 RIVERBANK
,2015-12-17,106 E UNION Street FLR 1
,2015-12-20,1701 SALEM Road APT O5
,2015-12-20,1824 N US-130 RM 130
,2015-12-21,902 JACKSONVILLE Road RM 308
,2015-12-21,255 E PEARL Street APT 124
,2015-12-22,907 WOODLANE Road APT 50B
,2015-12-23,4700 US-295
,2015-12-25,902 JACKSONVILLE Road RM SOUTH 117
,2015-12-25,275 GREEN Street APT 4J1
,2015-12-30,5040 US-295
,2015-12-30,275 GREEN Street APT 5M7
,2015-12-30,303 MCNEAL Street
,2016-01-03,2305 RANCOCAS Road RM 135B
,2016-01-03,4970 US-295
,2016-01-04,6 TERRI Lane SUITE 900
,2016-01-05,651 HIGH Street FLOOR 1
,2016-01-05,120 ELM Street TH BLDG
,2016-01-06,1701 SALEM Road APT O9
,2016-01-06,2000 BURLINGTON Bypass APT 45
,2016-01-07,2305 RANCOCAS Road UNKN
,2016-01-08,433 JFK Way
,2016-01-09,2000 BURLINGTON Bypass APT 289
,2016-01-12,25 LAGORCE Boulevard
,2016-01-15,120 ELM Street APT G2
,2016-01-15,902 JACKSONVILLE Road RM SOUTH 207
,2016-01-16,115 SUNSET Road RM E17-2
,2016-01-16,2000 BURLINGTON Bypass 89
,2016-01-16,1421 KENNYS COVE
,2016-01-16,147 LAGORCE Boulevard
,2016-01-17,VANSCIVER Parkway
,2016-01-18,2305 RANCOCAS Road UNKN
,2016-01-19,6 TERRI Lane SUITE 900
,2016-01-21,23 STONE VILLA
,2016-01-21,200 CAMPBELL Drive SUITE 115
,2016-01-21,1421 KENNYS COVE
,2016-01-21,651 HIGH Street FLOOR 1
,2016-01-21,4494 S US-130 SUITE 2
,2016-01-22,1 REV Drive ML KING JR Drive
,2016-01-22,907 WOODLANE Road APT 94A
,2016-01-23,902 JACKSONVILLE Road APT 1419
,2016-01-25,1130 SUNSET Road APT 8H
,2016-01-25,301 BROAD Street APT A
,2016-01-26,275 GREEN Street 4-A-3
,2016-01-26,3 STONE VILLA
,2016-01-28,1105 SUNSET Road SUITE B
,2016-01-28,114 RIVERBANK
,2016-01-29,220 TALBOT Street FLR 1
,2016-01-31,400 HIGH Street APT 306
,2016-01-31,137 CREEKSIDE Way
,2016-01-31,218 POWDERMILL Lane
,2016-02-01,218 POWDERMILL Lane
,2016-02-01,218 POWDERMILL Lane
,2016-02-01,651 HIGH Street FLOOR 1
,2016-02-02,255 E PEARL Street APT 102
,2016-02-02,651 HIGH Street FLOOR 1
,2016-02-03,23 STEEPLE CHASE Boulevard
,2016-02-04,1900 MT HOLLY Road SUITE 4D
,2016-02-05,255 E PEARL Street APT 410
,2016-02-05,1306 COOPER Street APT 57
,2016-02-06,1306 COOPER Street APT 57
,2016-02-08,2000 BURLINGTON Bypass 303
,2016-02-08,120 ELM Street APT TH07
,2016-02-09,115 SUNSET Road RM 17 UNIT E
,2016-02-09,23 STONE VILLA
,2016-02-10,870 N US-130 APT A15
,2016-02-10,200 CAMPBELL Drive SUITE 115
,2016-02-11,255 E PEARL Street APT 410
,2016-02-12,45 FAWNHOLLOW Road
,2016-02-12,2000 BURLINGTON Bypass 279
,2016-02-12,100 RIVERBANK
,2016-02-14,275 GREEN Street APT 4-I-4
,2016-02-16,45 FAWNHOLLOW Road
,2016-02-16,VANSCIVER Parkway
,2016-02-16,6 TERRI Lane SUITE 900
,2016-02-16,1714 HANCOCK Lane APT 209
,2016-02-17,1113 HOSPITAL Drive SUITE 300
,2016-02-20,48 STONE VILLA
,2016-02-20,651 HIGH Street FLOOR 1
,2016-02-22,2703 MT HOLLY Road SUITE 1
,2016-02-23,120 ELM Street APT SH-21
,2016-02-24,651 JFK Way
,2016-02-24,230 VANSCIVER Parkway
,2016-02-26,320 CONROW Street APT 149
,2016-02-29,1900 MT HOLLY Road SUITE C
,2016-03-01,1900 MT HOLLY Road SUITE C
,2016-03-02,159 CREEKSIDE Way
,2016-03-02,651 HIGH Street FLOOR 1
,2016-03-02,162 CREEKSIDE Way
,2016-03-03,2919 RT206
,2016-03-03,1000 SALEM Road SUITE C
,2016-03-03,1475 MT HOLLY Road APT N5
,2016-03-05,2919 RT206 STR 700-701
,2016-03-05,2835 RT206
,2016-03-06,2703 MT HOLLY Road SUITE 7
,2016-03-07,114 RIVERBANK
,2016-03-08,215 E FEDERAL Street FLR 1
,2016-03-10,240 E PEARL Street APT 109
,2016-03-10,2919 RT206 STR 700-701
,2016-03-10,RT206
,2016-03-11,1105 SUNSET Road UNIT 2A
,2016-03-12,4 STONE VILLA
,2016-03-12,870 N US-130 K7
,2016-03-17,505 MITCHELL Avenue APT 312
,2016-03-17,120 ELM Street APT SH8
,2016-03-17,2919 RT206
,2016-03-18,2305 RANCOCAS Road RM 221
,2016-03-19,2305 RANCOCAS Road UNKN
,2016-03-19,120 ELM Street APT M3
,2016-03-19,2501 MT HOLLY Road STORE 158
,2016-03-21,2305 RANCOCAS Road UNKN
,2016-03-21,2683 RT206
